StartLatitude,StartLongitude,StartTime,StartNH,EndNH,Covid
38.257,-85.74600000000001,2020-06-23T22:15:00Z,Downtown,Downtown,1
38.214,-85.751,2019-10-19T15:00:00Z,University,University,0
38.256,-85.74700000000001,2019-08-30T17:00:00Z,Downtown,Downtown,0
38.25,-85.755,2018-11-21T11:00:00Z,Downtown,West Core,0
38.219,-85.75399999999999,2019-08-16T04:45:00Z,University,University,0
38.258,-85.745,2019-06-11T15:00:00Z,Downtown,Downtown,0
38.249,-85.758,2019-11-07T19:45:00Z,Downtown,Downtown,0
38.252,-85.73899999999999,2019-06-22T15:45:00Z,Downtown,Downtown,0
38.237,-85.71799999999999,2018-08-18T17:00:00Z,Southeast Core,Southeast Core,0
38.237,-85.719,2019-01-14T14:15:00Z,Southeast Core,Southeast Core,0
38.253,-85.738,2019-08-23T21:45:00Z,Downtown,University,0
38.257,-85.76,2019-04-26T13:15:00Z,Downtown,Downtown,0
38.257,-85.76,2019-07-26T12:15:00Z,Downtown,Downtown,0
38.234,-85.75200000000001,2018-08-29T18:00:00Z,University,University,0
38.262,-85.736,2020-06-20T10:15:00Z,Northeast Core,Northeast Core,1
38.256,-85.73,2019-09-25T14:30:00Z,Downtown,Northeast Core,0
38.224,-85.759,2019-03-16T15:30:00Z,University,University,0
38.22,-85.758,2018-11-07T10:15:00Z,University,University,0
38.231,-85.734,2019-10-13T12:00:00Z,Southeast Core,University,0
38.256,-85.75399999999999,2019-08-08T08:15:00Z,Downtown,Downtown,0
38.231,-85.705,2019-06-24T01:00:00Z,Southeast Core,Southeast Core,0
38.255,-85.75399999999999,2019-05-02T18:15:00Z,Downtown,Other,0
38.214,-85.751,2019-07-03T16:45:00Z,University,Southeast Core,0
38.258,-85.745,2019-06-19T13:30:00Z,Downtown,Southeast Core,0
38.22,-85.757,2019-04-24T12:45:00Z,University,University,0
38.216,-85.758,2019-09-10T04:45:00Z,University,University,0
38.236,-85.71700000000001,2019-12-06T19:00:00Z,Southeast Core,Southeast Core,0
38.251,-85.757,2019-07-14T11:15:00Z,Downtown,Downtown,0
38.257,-85.76100000000001,2019-09-08T15:00:00Z,Downtown,Downtown,0
38.225,-85.762,2019-04-15T08:45:00Z,University,University,0
38.253,-85.736,2019-08-04T17:45:00Z,Downtown,Downtown,0
38.255,-85.734,2019-06-02T14:00:00Z,Downtown,Northeast Core,0
38.206,-85.75200000000001,2019-11-06T18:45:00Z,University,University,0
38.252,-85.757,2019-10-14T21:00:00Z,Downtown,Downtown,0
38.253,-85.757,2019-09-15T09:15:00Z,Downtown,Downtown,0
38.255,-85.73299999999999,2019-04-11T19:45:00Z,Downtown,Downtown,0
38.241,-85.727,2019-06-12T12:30:00Z,Southeast Core,Southeast Core,0
38.252,-85.75399999999999,2019-10-18T06:45:00Z,Downtown,Downtown,0
38.257,-85.75200000000001,2019-10-12T17:30:00Z,Downtown,Downtown,0
38.236,-85.73299999999999,2019-06-14T10:45:00Z,Southeast Core,Southeast Core,0
38.248000000000005,-85.744,2019-09-23T06:00:00Z,Downtown,Downtown,0
38.219,-85.762,2019-08-24T14:00:00Z,University,University,0
38.257,-85.762,2019-10-19T14:45:00Z,Downtown,Downtown,0
38.249,-85.757,2019-06-29T21:30:00Z,Downtown,Downtown,0
38.218,-85.75299999999999,2019-05-17T11:00:00Z,University,University,0
38.254,-85.755,2019-05-06T17:30:00Z,Downtown,Downtown,0
38.258,-85.76,2019-03-29T19:45:00Z,Downtown,Downtown,0
38.251,-85.741,2019-05-28T19:15:00Z,Downtown,University,0
38.232,-85.708,2019-09-14T11:45:00Z,Southeast Core,Other,0
38.216,-85.758,2019-04-18T10:00:00Z,University,University,0
38.217,-85.757,2019-05-06T10:15:00Z,University,University,0
38.256,-85.726,2019-07-02T12:45:00Z,Downtown,Downtown,0
38.257,-85.762,2018-10-22T13:15:00Z,Downtown,Downtown,0
38.256,-85.764,2019-06-21T08:30:00Z,Downtown,Downtown,0
38.233,-85.736,2019-09-21T15:30:00Z,Southeast Core,Southeast Core,0
38.249,-85.74700000000001,2019-10-16T12:45:00Z,Downtown,Downtown,0
38.245,-85.735,2019-03-27T15:45:00Z,Downtown,Downtown,0
38.254,-85.757,2019-08-09T23:15:00Z,Downtown,Downtown,0
38.253,-85.73899999999999,2018-11-21T12:45:00Z,Downtown,Downtown,0
38.251,-85.755,2019-06-14T17:45:00Z,Downtown,Downtown,0
38.251,-85.74799999999999,2019-09-01T19:00:00Z,Downtown,Downtown,0
38.238,-85.719,2019-08-21T11:45:00Z,Southeast Core,Southeast Core,0
38.232,-85.709,2019-05-20T17:45:00Z,Southeast Core,Southeast Core,0
38.252,-85.75399999999999,2019-07-11T20:00:00Z,Downtown,Downtown,0
38.254,-85.74700000000001,2019-01-05T08:00:00Z,Downtown,Downtown,0
38.249,-85.75399999999999,2019-05-25T21:15:00Z,Downtown,Downtown,0
38.214,-85.76,2019-10-09T15:30:00Z,University,University,0
38.242,-85.745,2019-08-17T04:15:00Z,Downtown,West Core,0
